tempat,tarikhMula,tarikhTamat,Tahun,Negeri
Sg. Kulim,17/10,18/10,2001,PulauPinang
Sg. Tok Sani,17/10,18/10,2001,PulauPinang
Sg. Maklum,17/10,18/10,2001,PulauPinang
Sg. Pertama,13/1,13/1,2001,PulauPinang
Sg. Kubang Semang,13/1,13/1,2001,PulauPinang
Sg. Mengkuang,13/1,14/1,2001,PulauPinang
Sg. Ara Kuda,13/1,13/1,2001,PulauPinang
Sg. Sintuk,13/1,13/1,2001,PulauPinang
Sg. Perai,13/1,13/1,2001,PulauPinang
Sg. Permatang Rawa,13/1,14/1,2001,PulauPinang
Sg. Kilang Ubi,13/1,13/1,2001,PulauPinang
Sg. Machang Bubok,13/1,13/1,2001,PulauPinang
Sg. Machang Bubok,21/1,21/1,2001,PulauPinang
Sg. Junjong,13/1,15/1,2001,PulauPinang
Sg. Junjong Mati,13/1,13/1,2001,PulauPinang
Sg. Junjong Mati,21/1,21/1,2001,PulauPinang
Sg. Junjong Mati,2/10,2/10,2001,PulauPinang
Sg. Bukit Teh,13/1,13/1,2001,PulauPinang
Sg. Pinang,27/8,27/8,2001,PulauPinang
Sg. Jelutong,2/11,2/11,2001,PulauPinang
Sg. Air Hitam,2/11,2/11,2001,PulauPinang
Sg. Fettes,2/11,2/11,2001,PulauPinang
Sg. Balik Batu,2/11,2/11,2001,PulauPinang
Sg. Air Terjun,16/10,16/10,2001,PulauPinang
Sg. Air Terjun,2/11,2/11,2001,PulauPinang
Sg. Tiram,2/11,2/11,2001,PulauPinang
Sg. Relau,2/11,2/11,2001,PulauPinang
Sg. Kerian,13/1,13/1,2001,Perak
Sg. Kerian,19/8,19/8,2001,Perak
Sg. Kerian,29/10,29/10,2001,Perak
Sg. Air Tawar,26/11,26/11,2001,Perak
Sg. Perak,30/4,3/5,2001,Perak
Sg. Perak,2/11,3/11,2001,Perak
Sg. Perak,26/11,29/11,2001,Perak
Sg. Perak / Sg. Kinta,1/1,8/1,11/10,1/11
Sg. Perak / Sg. Dedap,16/11,19/11,2001,Perak
Sg. Klah,26/4,26/4,2001,Perak
Sg. Klah,9/11,9/11,2001,Perak
Sg. Pari,28/4,28/4,2001,Perak
Sungai Trolak,25/1,26/1,2001,Perak
Sg. Keneriang / Sg. Lawin,25/1,26/1,2001,Perak
Sg. Kinta / Sg. Tumbuh,30/4,2/5,2001,Perak
Sg. Rawang,25/4,25/4,2001,Selangor
Sg. Rawang,9/5,9/5,2001,Selangor
Sg. Rawang,21/9,21/9,2001,Selangor
Sg. Rawang,26/9,26/9,2001,Selangor
Sg. Rawang,17/11,17/11,2001,Selangor
Sg. Buloh,14/4,14/4,2001,Selangor
Sg. Klang,9/4,9/4,2001,Selangor
Sg. Klang,19/4,19/4,2001,Selangor
Sg. Klang,4/9,4/9,2001,Selangor
Sg. Klang,8/10,8/10,2001,Selangor
Sg. Kuyoh,3/4,3/4,2001,Selangor
Sg. Kuyoh,9/4,9/4,2001,Selangor
Sg. Damansara,3/4,3/4,2001,Selangor
Sg. Damansara,9/4,9/4,2001,Selangor
Sg. Damansara,13/4,13/4,2001,Selangor
Sg. Damansara,19/4,19/4,2001,Selangor
Sg. Damansara,4/9,4/9,2001,Selangor
Sg. Rasau,3/4,3/4,2001,Selangor
Sg. Ampang,*No.-*No.,*No.-*No.,2001,Selangor
Sg. Ampang,info-info,info-info,2001,Selangor
Sg. Ampang,on-on,on-on,2001,Selangor
Sg. Ampang,date-date,date-date,2001,Selangor
Sg. Langat,9/4,9/4,2001,Selangor
Sg. Langat,19/4,19/4,2001,Selangor
Sg. Langat,17/11,19/11,2001,Selangor
Sg. Cheras,*No.-*No.,*No.-*No.,2001,Selangor
Sg. Cheras,info-info,info-info,2001,Selangor
Sg. Cheras,on-on,on-on,2001,Selangor
Sg. Cheras,date-date,date-date,2001,Selangor
Sg. Balak,*No.-*No.,*No.-*No.,2001,Selangor
Sg. Balak,info-info,info-info,2001,Selangor
Sg. Balak,on-on,on-on,2001,Selangor
Sg. Balak,date-date,date-date,2001,Selangor
Sg. Jai,9/4,9/4,2001,Selangor
Sg. Sompo,9/4,9/4,2001,Selangor
Sg. Beranang,9/4,9/4,2001,Selangor
Sg. Klang,9/4,9/4,2001,KualaLumpur
Sg. Klang,19/4,19/4,2001,KualaLumpur
Sg. Klang,26/4,26/4,2001,KualaLumpur
Sg. Klang,6/6,6/6,2001,KualaLumpur
Sg. Klang,4/9,4/9,2001,KualaLumpur
Sg. Klang,8/10,8/10,2001,KualaLumpur
Sg. Klang,29/10,29/10,2001,KualaLumpur
Sg. Batu,25/1,25/1,2001,KualaLumpur
Sg. Batu,9/4,9/4,2001,KualaLumpur
Sg. Batu,26/4,26/4,2001,KualaLumpur
Sg. Gombak,9/4,9/4,2001,KualaLumpur
Sg. Gombak,26/4,26/4,2001,KualaLumpur
Sg. Bunus,26/4,26/4,2001,KualaLumpur
Sg. Bunus,6/6,6/6,2001,KualaLumpur
Sg. Ampang,*No.-*No.,*No.-*No.,2001,KualaLumpur
Sg. Ampang,info-info,info-info,2001,KualaLumpur
Sg. Ampang,on-on,on-on,2001,KualaLumpur
Sg. Ampang,date-date,date-date,2001,KualaLumpur
Sg. Linggi,17/11,17/11,2001,NegeriSembilan
Sg. Simpang Ampat,17/11,17/11,2001,NegeriSembilan
Sg. Baru,27/9,27/9,2001,Melaka
Sg. Melaka,29/8,29/8,2001,Melaka
Sg. Alor Gajah,27/9,27/9,2001,Melaka
Sg. Asahan,7/5,7/5,2001,Melaka
Sg. Merlimau,8/6,8/6,2001,Melaka
Sg. Merlimau,18/6,18/6,2001,Melaka
Sg. Skudai,18/1,18/1,2001,Johor
Sg. Plentong,18/1,18/1,2001,Johor
Sg. Masai,18/1,18/1,2001,Johor
Sg. Sayong,18/1,18/1,2001,Johor
"Parit Batu 7,Kg. Wak Salam",18/1,18/1,2001,Johor
Sg. Paya Dato,18/1,18/1,2001,Johor
Sg. Lengan Baju,17/1,18/1,2001,Johor
Parit Tadahan Pengkalan Batu,18/1,18/1,2001,Johor
Parit Kg. Paya Pengkalan Batu,18/1,18/1,2001,Johor
Sg. Tenglu Besar,17/1,18/1,2001,Johor
Sg. Teluk Buih,17/1,18/1,2001,Johor
Sg. Air Merah,18/1,18/1,2001,Johor
Sg. Derhaka,18/1,18/1,2001,Johor
Sg. Tenglu Kecil,18/1,18/1,2001,Johor
Sg. Selang Bani,18/1,18/1,2001,Johor
Sg. Segenting,17/1,18/1,2001,Johor
Sg. Tekedai / Sg. Air Tawar,18/1,18/1,2001,Johor
Sg. Semanyir,18/1,18/1,2001,Johor
Sg. Padang,18/1,18/1,2001,Johor
Sg. Ngang,18/1,18/1,2001,Johor
Sg. Air Hitam,18/1,18/1,2001,Johor
Sg.Mengkibol,18/1,18/1,2001,Johor
Sg. Pahang,27/12,27/12,2001,Pahang
Sg. Pahang,23/12,29/12,2001,Pahang
Sg. Jelai,23/12,23/12,2001,Pahang
Sg. Kuantan,15/12,15/12,2001,Pahang
Sg. Chukai,16/12,17/12,2001,Terengganu
Sg. Ibok,15/12,15/12,2001,Terengganu
Sg. Kemaman,17/11,17/11,2001,Terengganu
Sg. Kemaman,15/12,15/12,2001,Terengganu
Sg. Kemaman,23/12,26/12,2001,Terengganu
Sg. Kemaman,30/12,30/12,2001,Terengganu
Sg. Pinang,15/12,15/12,2001,Terengganu
Sg. Pinang,23/12,23/12,2001,Terengganu
Sg. Musang,23/12,23/12,2001,Terengganu
Sg. Dungun,15/12,15/12,2001,Terengganu
