,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Negeri
,,,,,,,,,,,,Perlis
"River
&
Date of Flood",,,,,,"Sg. Perlis
17-25/12","Sg. Buluh
21-22/10",,,"Sg. Jarum
11/6","Sg. Pelarit
1-8/11",
,,,,,,"Sg. Arau
17-24/12","Sg. Alor Mentalun
21-22/10",,,"Sg. Pelarit 
11/6","Sg. Jarum
1-8/11",
,,,,,,,"Sg. Arau
21-22/10",,,"Sg. Buluh
11/6","Sg. Buluh
1-8/11",
,,,,,,,,,,"Sg. Mentalun
29/3","Sg. Panggas
1-8/11",
,,,,,,,,,,,"Sg. Jerneh
1-8/11",
,,,,,,,,,,,"Sg. Arau
1-8/11",
,,,,,,,,,,,"Sg. Perlis
1-8/11",
,,,,,,,,,,,"Sg. Repoh
1-8/11",
,,,,,,,,,,,"Sg. Abi
1-8/11",
,,,,,,,,,,,"Sg. Kechor
1-8/11",
,,,,,,,,,,,"Sg. Temenggong
1-8/11",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Kedah
"River
&
Date of Flood",,,"Sg. Kedah
7/7","Sg. Kedah
21-26/10",,"Sg. Pdg. Terap
18-22/12","Sg. Kedah
20-27/10","Sg. Pendang
16-20/9, 2-7/10","Sg. Kedah
16-27/10","Sg. Kedah
9-10/4, 7-10/11, 16-19/11","Sg. Kedah
30/10-3/11",
,,,"Sg. Bata / Temin 
30/12",,,"Sg. Tg. Pauh
18-22/12","Sg. Pdg. Terap
20-27/10","Sg. Pdg. Kerbau
16-20/9, 2-7/10","Sg. Pendang
16-27/10","Sg. Setar
9-10/4","Sg. Pdg. Terap
30/10-3/11",
,,,,,,"Sg. Alor Madi
18-22/12","Sg. Tg. Pauh
20-27/10","Sg. Pdg. Terap
17-18/9, 3/11,
17-20/12","Sg. Pdg. Terap
18-25/10","Sg. Pdg. Kerbau
28-31/8","Sg. Bata
30/10-3/11",
,,,,,,"Sg. Kubang Rotan
18-22/12","Sg. Alor Madi
20-27/10","Sg. Bata
15/10, 17-21/12","Sg. Bkt. Pinang
18-25/10","Sg. Pendang
9-10/4 & 07-10/11","Sg. Anak Bkt.
30/10-3/11",
,,,,,,"Sg. Baru
18-22/12","Sg. Kubang Rotan
20-27/10","Sg. Pering
15/10, 17-21/12","Sg. Anak Bkt.
18-25/10","Sg. Anak Bkt.
9-10/4, 7-10/11","Sg. Pendang
30/10-3/11",
,,,,,,"Sg. Pdg. Sanai
19/12","Sg. Pendang
20-23/10","Sg. Badak
17-21/12","Sg. Nawa
18-25/10","Sg. Baru
9-10/4 & 07-10/11",,
,,,,,,"Sg. Bata
16-19/12,
20-25/12","Sg. Bata
20-23/10","Sg. Laka
17-21/12","Sg. Tg. Pauh
22-24/10","Sg. Pdg. Terap
7-10/11",,
,,,,,,"Sg. Temin
16-19/12,
20-25/12","Sg. Pering
20-23/10",,"Sg. Bata
22-24/10","Sg. Bata
7-10/11",,
,,,,,,,,,"Sg. Alor Madi
22-24/10","Sg. Temin
7-10/11",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,"Sg. Gurun
8-10/9, 4-13/10",,,,"Sg. Gurun
14-18/9","Sg. Gurun
6-8/9, 22-24/9,
29-30/9, 22-24/10","Sg. Gurun
11-12/7, 23/8,
28-31/8",,
,,,,"Sg. Udang
8-10/9",,,,"Sg. Udang
14-18/9","Sg. Udang
6-8/9, 22-24/9,
29-30/9, 22-24/10","Sg. Udang
11-12/7, 23/8",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"River
&
Date of Flood",,,"Sg. Petani
20/10, 20/11, 17/12","Sg. Petani
4-13/10",,,,"Sg. Merbok
7/9","Sg. Merbok
6-8/9, 22-24/9,
29-30/9, 22-24/10",,"Sg. Merbok
6/7",
,,,,"Sg. Pasir
4-13/10",,,,,,,"Sg. Ketapan
6/7",
,,,,,,,,,,,"Sg. Puntar
6/7",
,,,,,,,,,,,"Sg. Ibor
6/7",
,,,,,,,,,,,"Sg. Tampang
6/7",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
